EventID	캐릭터	대사	음향효과	화면연출
Prologue_01	???	냉동밥…?		
Prologue_01	주인공	아! 냉동밥…		
Prologue_01	???	….네.		
Prologue_01	주인공	그러면 저… 떡이라도 드실래요…?		
Prologue_01	???	...그래도 돼요…?		
Prologue_01	주인공	대신 드시고 조금만 조용히 해 주세요… 		
Prologue_01	???	네…		
Prologue_01	주인공	그럼 저는 이만 가 볼게요. 새벽에 실례했...		
Prologue_01	???	아.		
Prologue_01	주인공			
Prologue_01	주인공	혹시 제가 돌아갈 수는 없는 걸까요…?		
Prologue_01	???	"아뇨, 그게 아니라…"		
Prologue_01	???	주방이 너무 더러워서 못 먹을 것 같아요...		
Prologue_01	주인공	네?		
Prologue_01	주인공	뭐 얼마나 더럽다고… 		
Prologue_01	???	많이 더러워요… 그래서 못 먹을 것 같아요. 죄송해요… 		
Prologue_01	주인공	그럼 소음은…?		
Prologue_01	???	정말 죄송해요… 최대한 조용히 치울게요…		
Prologue_01	주인공	…		
Prologue_01	???	…죄송해요…		
Prologue_01	주인공	… 아.. 그럼 같이 치워드릴게요. 		
Prologue_01	???	"저, 정말요…? "		
Prologue_01	주인공	어차피 지금 상태로는 잠도 못 잘 것 같고… 		
Prologue_01	주인공	"여동생이랑 닮은 것 같아요, 그쪽…"		
Prologue_01	주인공	성함이..?		
Prologue_01	???	"앗, 제 이름…"		
Prologue_01	장미희	장미희…요…		
Prologue_01	주인공	네… 장미희 씨. 정해졌으면 일단 청소부터 할까요…		
Prologue_01	장미희	…! 네!		
Prologue_01				(맵으로 이동)
Prologue_01	주인공	많이…		
Prologue_01	장미희	많이…?		
Prologue_01	주인공	더럽네요…		
Prologue_01	장미희	윽… 		
Prologue_01	장미희	안될 것 같으면 그냥 돌아가셔도 돼요…		
Prologue_01	주인공	…		
Prologue_01	주인공	아니에요. 일단 냉장고부터 치우죠. 떡도 넣어둬야 하고.		
Prologue_01	장미희	…!		
Prologue_01	주인공	혹시 큰 쓰레기 봉투 있어요? 일단 다 버리는게 좋을 것 같은데.		
Prologue_01	장미희	여기 있어요..!	(부스럭거리는 사운드)	
Prologue_01	주인공	"아… 일단 혹시 몰라서 여쭤보는 건데, 전부 음식물이 맞는 거죠? "		
Prologue_01	장미희	네…?		
Prologue_01	주인공	"아, 아니에요.."		
Prologue_01	장미희	음식물이기는 한데요…		
Prologue_01	장미희	많이 썩어서…		
Prologue_01	주인공	그럼 일단 원래는 사람이 먹을 수 있는 음식이었다는 거죠..?		
Prologue_01	주인공	괴물이 먹을 수 있는 거 말고 사람이 먹을 수 있는거요…		
Prologue_01	장미희	괴물이요…? 		
Prologue_01	주인공	…		
Prologue_01	주인공	잊어주세요. 제가 잠을 못 잤더니..		
Prologue_01	장미희	"그, 그건 정말 죄송…"		
Prologue_01	주인공	… 일단 치울까요...		
Prologue_01				(스테이지 시작)
Prologue_01	주인공	냉장고 정리는 버리는게 다에요.		
Prologue_01	주인공	혹시 상하지 않은 음식이나 버리면 안되는 것들이 있나요?		
Prologue_01	장미희	…아뇨... 아마도…		
Prologue_01	주인공	그럼 다 버릴게요.		
Prologue_01	장미희	네…		
Prologue_01	주인공	냉장고에 있는 것들을 전부 쓰레기 봉투에 옮긴다고 생각하면 돼요.		
Prologue_01	주인공	이렇게…		(예시 조작 화면)
Prologue_01	주인공	미희 씨도 해 보세요.		
Prologue_01				(플레이 시작)
